=== FILE WITH SHUFFLED LINES (even, odd) ===
line_065: bodily bellhops
line_101: quicklime's Peck
line_094: refactor confutation's
line_120: intermezzos growl
line_142: gunner's ultimatums
line_149: kilotons peacefully
line_057: Eris's realignment's
line_141: diode Utrillo
line_191: Johannesburg Lilliputian's
line_092: assignment's corruptibility's
line_006: violence Algenib
line_096: Luxembourgian dethroned
line_130: sims cheeked
line_139: Memphis remasters
line_056: obtusely suffuses
line_169: hypoallergenic Dyer
line_124: lumped MFA
line_131: incombustible caftan's
line_022: steamrolling basso
line_016: trusses Connie
line_028: Valois's deadheaded
line_093: lechery strobes
line_127: zoophytic segued
line_160: boasters members
line_198: mindedness restorative
line_171: adjourning sword's
line_168: deficit's brimmed
line_017: boaters combination's
line_018: enchantment Aug
line_173: Ustinov preterits
line_111: Morgan I'm
line_186: lures canned
line_115: airmails whereabouts's
line_183: newspaper's trustworthiness
line_090: autopsied ballplayer's
line_110: handlebar's washbasins
line_088: studded presented
line_158: Medford's Trey's
line_194: orgies coated
line_117: laughably Walters's
line_061: hornblende Oxnard
line_068: SCSI covert
line_138: complexion's photometers
line_045: recognizance disseminating
line_161: dogcatcher's underclothing
line_005: pH Candide
line_184: reproductions frustration
line_049: monarchy dominance
line_087: incomprehension's prayers
line_038: letup Emacs's
line_004: ambitiousness hackneying
line_060: streetlamp Qumran's
line_199: Pennington's grate's
line_003: cirrus's Rodriguez
line_189: trash couples
line_135: bitching hearkened
line_165: dram's favorite
line_048: Blankenship's reflates
line_064: Malian's partner's
line_179: cleaning's comb
line_011: inclusions anodize
line_153: polluting patter's
line_077: walkaway's bibliophile
line_062: quoting staples
line_076: yawner's pastorates
line_055: Herbart's shy
line_122: unmixed Rastaban's
line_200: Atropos's multiplications
line_140: dunghill's gathering
line_072: bellybuttons Castaneda's
line_080: pruners scrupled
line_075: OH manager
line_146: Central Ariz
line_182: arson jocund
line_009: Trinidadian fairs
line_167: mullet's cummerbund
line_132: processor Heriberto
line_170: jonquil's prematurely
line_098: Shannon contradicting
line_035: Roanoke's fatness
line_114: incompatible's Slinky
line_015: unmistakably Filipino's
line_091: Knievel's insole's
line_190: drovers torte's
line_040: flyby Gospel's
line_181: ambiguity clambake's
line_059: Nepalis inattentive
line_032: Gallegos's upshots
line_026: bobolinks anything's
line_097: wherefore's Delmonico
line_079: sixpence's horsier
line_082: Hartline swallowtail
line_010: idealization's impeachable
line_176: wail's culling
line_107: précis misinformation
line_125: starers charred
line_054: mortals courtyard
line_136: disrupted Herbert
line_014: loincloth's singeing
line_030: way hydrate
line_070: cobnut Xochipilli's
line_105: mun homewreckers
line_103: stat unprotected
line_042: unreadable picturesqueness
line_036: outcrop steakhouses
line_164: shanghaied bunches
line_067: parade instructive
line_012: rattles KB's
line_058: riskier namesake's
line_023: sherbets refugee's
line_137: impeachment's restitched
line_192: Klein masturbated
line_099: Windex's edifier
line_118: member's humanization
line_193: sententiously extrapolating
line_063: tilted force
line_033: catchers unquoting
line_078: referential awardee
line_021: Bond's escrow's
line_047: Kringle's Micronesia
line_001: penalized Laurie
line_008: prevaricate spiderwebs
line_051: seguing fabled
line_148: cattails workman's
line_039: lightener Antares's
line_073: gizmo engram
line_174: Silvia scow
line_020: packaging Nancy
line_123: Cordoba hats
line_126: exigencies misruled
line_188: scram vendors
line_025: rosin's Bulgaria
line_083: naifs Verde
line_002: implement mirrored
line_177: ophthalmology jimmy
line_152: Mancini's sunk
line_037: dungaree MIDI
line_154: invalidation's impatiently
line_034: attracts spacial
line_029: Hilfiger today's
line_147: lyric gnomish
line_195: handwriting Finnegan's
line_187: Henan's Requiem
line_104: salutation's Bruneian's
line_095: Jinan's townsman
line_081: radiometer crouched
line_144: knishes flowerpot's
line_074: dovetail reworks
line_041: railroader answerphone
line_134: metamorphism entertainingly
line_156: stripteased misdoings
line_116: Altair borstals
line_145: conferred joyfullest
line_172: educates concocts
line_157: abases grislier
line_089: obsession's duly
line_102: shortest borrowing's
line_050: lactose crudités's
line_046: archaeological blokes
line_085: cottage's folksinger
line_113: deprived voltages
line_013: Taipei's violin's
line_119: environmentalist wait
line_162: cloistered rectilinear
line_129: epoxying foursquare
line_066: Pyrenees's avoids
line_112: Jeffery satanism
line_106: furbishes homesteads
line_043: specifiers palatine
line_071: Prague gimmick's
line_109: imputes scorcher
line_053: Benetton's iPad
line_007: TGIF Bosnian
line_052: odd musty
line_019: boondocks's Pizarro
line_108: businesses warship
line_031: Langerhans's rollmop
line_197: alternators popguns
line_024: tirade's insteps
line_185: Brillouin restrictive
line_151: thriller invitations
line_175: outcast antitoxins
line_150: lusterless labor
line_166: constable's membrane's
line_159: claustrophobia's Bill's
line_178: bankruptcy's syndrome's
line_100: showplace basely
line_163: complimented uninterruptedly
line_121: oculars coatings
line_027: Norton's life
line_143: domesticate gremlin's
line_180: somersault's weasel's
line_084: ghastliest resistances
line_196: revolutionaries Pennzoil
line_155: Gaelic's wayside
line_069: sacrilege's exodus
line_086: sheep depression
line_044: shies blockader's
line_133: seafronts politeness's
line_128: chancre's calculations
