=== FILE WITH LINES SORTED BY LENGTH ===
line_131: Pb we've
line_065: acid wino
line_179: NWT Faith
line_180: grazed er
line_064: pap Buford
line_098: Lvov cokes
line_138: stag climax
line_173: Twitter VCR
line_031: wryly devoid
line_087: Canute wound
line_089: Balkans days
line_112: Drano aviary
line_123: Cassie's ado
line_126: Fiat yuppies
line_006: Hiss's Ripley
line_018: pawn's sodden
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_028: Bursa peewees
line_029: Haber's rouge
line_047: pyx subeditor
line_069: planked merry
line_192: Peck Clouseau
line_023: cellophane Dow
line_034: Herakles Laval
line_077: singly huddled
line_081: Grotius chalks
line_088: Beard's ponged
line_104: heathen mood's
line_106: chameleons UHF
line_185: Yvonne Medford
line_189: moderator Hank
line_016: equipped jibing
line_021: refund filliped
line_022: classism jurors
line_039: tapeworm models
line_049: Jimenez's sangs
line_052: obliterated Tom
line_054: Griffin Costner
line_066: Kazakh culpably
line_075: plunging symbol
line_080: deletion levy's
line_083: procure delft's
line_085: jail intermarry
line_086: jetting colleen
line_091: Percy's fluster
line_096: duckies consent
line_118: dental notebook
line_137: redskin's Ricky
line_151: vibes's phallus
line_188: crassest fesses
line_001: tabor's outrider
line_008: writable rough's
line_009: temple straggles
line_013: odometer's bakes
line_014: girting salaried
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_027: misdone hamper's
line_030: chapping patio's
line_036: fleecy Roanoke's
line_045: logiest braising
line_053: eyeball's veejay
line_055: drives trample's
line_071: skydiver's Ana's
line_108: Byers Evansville
line_121: Gaza's playlists
line_129: regale windowing
line_130: newsman reaching
line_142: smock paranormal
line_146: Dana usability's
line_152: sensitivity ACLU
line_154: leaky Ethiopians
line_156: screwed coolie's
line_163: nobleman droop's
line_165: lilos Heisenberg
line_174: amputates benzyl
line_181: ginkgo's Texan's
line_183: Kennith's looker
line_196: wiggle's Percy's
line_002: spotlit habitué's
line_011: authentic dogcart
line_046: Gulliver implying
line_051: suspected hippest
line_057: buskin's Smolensk
line_060: tradesman Allie's
line_090: totterers stock's
line_095: outrank seclusive
line_105: adornment's lumpy
line_111: Jenifer lumbering
line_115: musclemen bedecks
line_117: Kaitlin extremest
line_122: degenerated hokum
line_124: successful purify
line_125: anybody's limbo's
line_155: Gill hyphenations
line_004: relief's recasting
line_007: homemaking sculled
line_024: Bourbaki outfitter
line_037: amiable tragically
line_056: venation estranged
line_070: julienne iceberg's
line_076: beguiled Harvard's
line_092: putty's achromatic
line_097: beryllium's colloq
line_102: awkwardest buffoon
line_102: awkwardest buffoon
line_102: awkwardest buffoon
line_102: awkwardest buffoon
line_128: calicoes Slidell's
line_171: housebound airiest
line_172: Jerome PlayStation
line_186: framers jaundice's
line_186: framers jaundice's
line_186: framers jaundice's
line_194: deviance's rupture
line_198: dipsticks Borden's
line_017: earls remediation's
line_041: paraplegic woodiest
line_048: Fay's reeducation's
line_068: houseplants caimans
line_073: quietism volubility
line_074: uncommon Olympiad's
line_093: cripplers bestirred
line_107: tobogganer filter's
line_116: outcrop's naivety's
line_132: Poppins's traffic's
line_139: achieved Ashikaga's
line_145: knuckle's lifeforms
line_148: goldenrod reinfects
line_162: Mennonite sectaries
line_167: thalidomide banns's
line_184: Mercedes's sealants
line_199: denudation's townee
line_019: implementing vikings
line_032: Shari'a's forefather
line_035: cerebrate seismology
line_042: immaturely briefings
line_044: Flores disqualifying
line_050: sinister plagiarists
line_063: puritan's decadently
line_072: prototyping Hercules
line_103: widowers medicinally
line_103: widowers medicinally
line_103: widowers medicinally
line_103: widowers medicinally
line_110: parvenu bullheadedly
line_114: Oxford's Dickinson's
line_120: shatter hydroplane's
line_136: playthings misgiving
line_150: punch Marseillaise's
line_153: groundnut refreshing
line_157: misapplying Cheney's
line_158: beleaguer perfumer's
line_160: madrasahs piecrust's
line_160: madrasahs piecrust's
line_160: madrasahs piecrust's
line_160: madrasahs piecrust's
line_160: madrasahs piecrust's
line_160: madrasahs piecrust's
line_160: madrasahs piecrust's
line_160: madrasahs piecrust's
line_160: madrasahs piecrust's
line_160: madrasahs piecrust's
line_161: Oracle gangbusters's
line_175: rhymesters Grafton's
line_176: childcare potpourris
line_177: lodestar guardhouses
line_178: flammability telex's
line_191: nicotine's Dillinger
line_193: shocked hornblende's
line_197: retch manslaughter's
line_020: whatshername hockshop
line_058: neocolonialism snobby
line_062: jeep's abolitionism's
line_082: Goldwater's hafnium's
line_094: undertakings scuzzier
line_099: exoskeletons mangle's
line_100: Swahili's compatibles
line_100: Swahili's compatibles
line_100: Swahili's compatibles
line_100: Swahili's compatibles
line_113: Marlboro's conferring
line_134: Brendan's Christendom
line_140: reanalyze cylindrical
line_144: stenography's simplex
line_147: tyrannical ricocheted
line_159: Zoroastrian cookout's
line_164: forecasters thinkable
line_170: bunches unconformable
line_195: exaction's whipping's
line_010: palimpsest assortative
line_026: indentation Scotsmen's
line_040: fancywork misfortune's
line_109: downspout handbarrow's
line_169: unclothes accumulation
line_187: chiming checkerboard's
line_190: cavalry's infotainment
line_033: marigolds contraption's
line_101: surreptitious fashioner
line_101: surreptitious fashioner
line_101: surreptitious fashioner
line_101: surreptitious fashioner
line_119: potentiality's solenoid
line_127: fixedly choreographer's
line_133: tritium's phallocentric
line_149: atavism's southeaster's
line_003: felicitously whiteness's
line_015: agoraphobic's bushwhacks
line_025: palanquin confiscation's
line_038: transformations oenology
line_043: repentance's juggernauts
line_059: coffeehouse's barbarized
line_084: tunneler's boorishness's
line_141: malfunction's stultified
line_168: retrospectively schist's
line_200: confluence interruptions
line_005: undismayed transparency's
line_061: simulator desegregation's
line_166: Thunderbird's reequipping
line_012: insubordination's Elanor's
line_078: differentiated epinephrine
line_135: Khachaturian prerogative's
line_143: coeducation radiotherapist
line_079: biologists knickerbockers's
line_182: cyanobacteria alphabetizing
line_067: theosophy's professionalization
